
25 11145 5063 0 68787 50622 
33 12377 6295 0 83175 61508 
50 14905 8823 0 116944 87456 
100 22426 16344 0 217318 162371 
250 49690 43608 0 530184 400683 
333 65898 54056 0 710969 534799 
500 94154 82312 0 1070107 805185 
1000 171179 159337 0 2124704 1580280 
2500 422507 410665 0 5248961 3871072 
3333 546091 534249 0 7065254 5196460 
5000 816171 804329 0 10803610 7895072 
10000 1622076 1610234 0 21900832 15863575 
25000 4020540 4008698 0 53996643 38718907 
33333 5409548 5397706 0 72233107 51596589 
50000 8093308 8081466 0 109455580 77816399 
100000 16187053 16175211 0 225011543 158601804 
250000 40409725 40397883 0 562866110 392551956 
333333 53843613 53831771 0 746456404 518834294 
500000 80784749 80772907 0 1118966901 773316574 
1000000 161606078 161582716 0 2288495393 1566382583 
